"filename", "language", "SCSS", "JavaScript", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/ContactForm/ContactForm.scss", "SCSS", 51, 0, 0, 0, 0, 0, 3, 11, 65
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/GroupsAd/GroupsAd.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 4, 61
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/GroupsAd/GroupsAd.scss", "SCSS", 67, 0, 0, 0, 0, 0, 0, 12, 79
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/InstructorCard/InstructorCard.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 3, 29
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/InstructorCard/InstructorCard.scss", "SCSS", 46, 0, 0, 0, 0, 0, 0, 10, 56
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/SectionInfo/SectionInfo.js", "JavaScript", 0, 96, 0, 0, 0, 0, 8, 6, 110
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/SectionInfo/SectionInfo.scss", "SCSS", 206, 0, 0, 0, 0, 0, 0, 51, 257
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/SectionSelector/SectionSelector.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 8, 45
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/SectionSelector/SectionSelector.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/Sections/Sections.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/Sections/Sections.scss", "SCSS", 31, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/DayTile.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 6, 48
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/DayTile.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/Modal.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 7, 58
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/Modal.scss", "SCSS", 90, 0, 0, 0, 0, 0, 0, 13, 103
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/MonthCalendar.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3, 6
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/MonthCalendar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/YearCalendar.js", "JavaScript", 0, 156, 0, 0, 0, 0, 5, 17, 178
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/components/shared/YearCalendar/YearCalendar.scss", "SCSS", 97, 0, 0, 0, 0, 0, 0, 20, 117
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/articles.js", "JavaScript", 0, 542, 0, 0, 0, 0, 0, 1, 543
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/events.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 2, 70
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/footer.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/infoPages.js", "JavaScript", 0, 1082, 0, 0, 0, 0, 0, 7, 1089
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/instructors.js", "JavaScript", 0, 206, 0, 0, 0, 0, 0, 1, 207
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/kinder.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 1, 46
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/nav.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 2, 98
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/sections-places.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/sections.js", "JavaScript", 0, 218, 0, 0, 0, 0, 0, 1, 219
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/configs/trainings-schedule.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 1, 182
